GEOID,ALAND,AWATER,farm_acre_as_percent,crop_acre_as_percent,area_land_km2,area_water_km2,farm_area_km2,crop_area_km2
40059,2691041192,5259447,100.4,27.17,2691.041192,5.259447,2701.805356768,731.1558918664
17147,1137445090,756346,91.1,89.37,1137.44509,0.756346,1036.21247699,1016.534676933
48107,2331503437,3873557,95.6,47.36,2331.503437,3.873557,2228.9172857719996,1104.2000277631998
01063,1675782063,33416143,37.0,4.93,1675.782063,33.416143,620.03936331,82.6160557059
16033,4566524491,2476454,13.2,3.61,4566.524491,2.476454,602.781232812,164.85153412510002
19109,2519361813,4125592,95.4,92.11,2519.361813,4.125592,2403.4711696020004,2320.5841659543
38013,2858266385,65700367,73.5,55.69,2858.266385,65.700367,2100.825792975,1591.7685498064998
37063,741761173,29701774,10.1,3.69,741.761173,29.701774,74.91787847299999,27.3709872837
19085,1804808356,12417698,85.1,75.39,1804.808356,12.417698,1535.891910956,1360.6450195884
31103,2002257567,2192458,85.5,19.33,2002.257567,2.192458,1711.9302197850002,387.03638770109995
19187,1853586077,7278162,89.4,84.52,1853.586077,7.278162,1657.1059528380001,1566.6509522804
17151,955109669,14328523,28.0,13.08,955.109669,14.328523,267.43070732,124.92834470520002
47159,814020549,28690300,69.0,22.34,814.020549,28.6903,561.67417881,181.85219064659998
51089,990272714,5281696,18.1,4.64,990.272714,5.281696,179.239361234,45.9486539296
19101,1127999784,3524824,73.9,61.13,1127.999784,3.524824,833.5918403760002,689.5462679592
30049,8957160027,101500820,36.2,3.56,8957.160027,101.50082,3242.4919297740003,318.87489696119997
49013,8379502703,38797815,51.1,3.73,8379.502703,38.797815,4281.925881233,312.5554508219
40003,2244107192,38546675,94.5,61.9,2244.107192,38.546675,2120.68129644,1389.102351848
48119,665174292,54666016,87.5,48.97,665.174292,54.666016,582.0275055000001,325.7358507924
47169,296143587,5960710,58.2,14.83,296.143587,5.96071,172.35556763400004,43.91809395210001
21193,879750403,7603771,7.5,2.57,879.750403,7.603771,65.981280225,22.6095853571
46039,1612756368,36065238,84.1,56.15,1612.756368,36.065238,1356.328105488,905.5627006320001
41029,7208499985,46860048,9.6,2.28,7208.499985,46.860048,692.01599856,164.35379965799999
48507,3360268880,11208707,87.8,9.16,3360.26888,11.208707,2950.31607664,307.800629408
31007,1932676697,397069,88.6,40.04,1932.676697,0.397069,1712.351553542,773.8437494788
19121,1452999208,2983840,75.5,49.93,1452.999208,2.98384,1097.01440204,725.4825045544
12011,3120024303,306053086,0.9,0.21,3120.024303,306.053086,28.080218727000002,6.552051036300001
13279,942770579,18094405,34.6,16.91,942.770579,18.094405,326.198620334,159.4225049089
26151,2493045473,1624882510,70.9,65.09,2493.045473,1624.88251,1767.5692403570001,1622.7232983757003
48397,329205133,56076769,49.6,25.79,329.205133,56.076769,163.285745968,84.90200380069999
26163,1585060122,157341390,2.6,1.99,1585.060122,157.34139,41.211563172000005,31.542696427800003
27105,1852077339,19323570,90.5,85.72,1852.077339,19.32357,1676.1299917949998,1587.6006949907999
27001,4718271444,449535492,9.1,4.64,4718.271444,449.535492,429.36270140399995,218.92779500159997
38071,3074174337,295182394,91.7,82.45,3074.174337,295.182394,2819.017867029,2534.6567408565
37145,1016141549,31218720,32.7,18.16,1016.141549,31.21872,332.2782865230001,184.5313052984
20195,2303731642,26281951,90.5,48.54,2303.731642,26.281951,2084.8771360100004,1118.2313390268
28151,1877069905,94495553,79.9,75.29,1877.069905,94.495553,1499.778854095,1413.2459314745001
48133,2399599303,14047796,82.6,13.52,2399.599303,14.047796,1982.0690242779997,324.4258257656
28055,1069782900,73507441,49.6,32.97,1069.7829,73.507441,530.6123184,352.70742213
48123,2354237945,3919919,83.2,8.74,2354.237945,3.919919,1958.72597024,205.760396393
48005,2066241599,173338077,20.4,4.24,2066.241599,173.338077,421.51328619599997,87.6086437976
45081,1172692435,23417452,41.2,11.49,1172.692435,23.417452,483.14928322,134.7423607815
29125,1364869337,7636521,73.6,19.06,1364.869337,7.636521,1004.543832032,260.1440956322
05001,2560988637,116409463,65.5,56.73,2560.988637,116.409463,1677.4475572349997,1452.8488537700998
29109,1584391270,4249327,77.2,31.7,1584.39127,4.249327,1223.15006044,502.25203259
17011,2250785990,11578416,78.6,73.39,2250.78599,11.578416,1769.11778814,1651.8518380609999
39145,1580451539,15363856,23.4,11.56,1580.451539,15.363856,369.82566012599995,182.7001979084
37115,1164497728,4840762,19.7,3.85,1164.497728,4.840762,229.406052416,44.833162528
16053,1547386409,13152108,44.9,35.19,1547.386409,13.152108,694.776497641,544.5252773271
39163,1068008706,6781201,11.9,5.31,1068.008706,6.781201,127.093036014,56.711262288600004
48309,2686101576,59883892,86.4,39.55,2686.101576,59.883892,2320.791761664,1062.353173308
16037,12748200986,42566923,4.7,1.58,12748.200986,42.566923,599.165446342,201.4215755788
19089,1225706339,927963,98.8,90.35,1225.706339,0.927963,1210.997862932,1107.4256772865
12099,5092730552,1079713751,38.8,34.88,5092.730552,1079.713751,1975.9794541759998,1776.3444165376
13181,544880787,121516946,13.6,2.46,544.880787,121.516946,74.10378703200001,13.404067360200001
